Organization,Category,Year,Value
fondation pour geneve,Energy,2022,3.1
fondation pour geneve,Mobility,2022,0.1
fondation pour geneve,Consumables,2022,1.3
fondation pour geneve,Waste,2022,0.1
fondation pour geneve,Food and  Hotels,2022,1.7
permanent mission of italy,Energy,2022,53
permanent mission of italy,Mobility,2022,0
permanent mission of italy,Consumables,2022,1
permanent mission of italy,Waste,2022,0
permanent mission of italy,Food and  Hotels,2022,0
ccig chambre de commerce dindustrie et des services de geneve,Energy,2022,35.4
ccig chambre de commerce dindustrie et des services de geneve,Mobility,2022,7.7
ccig chambre de commerce dindustrie et des services de geneve,Consumables,2022,7.1
ccig chambre de commerce dindustrie et des services de geneve,Waste,2022,8.6
ccig chambre de commerce dindustrie et des services de geneve,Food and  Hotels,2022,30.7
ccig chambre de commerce dindustrie et des services de geneve,Energy,2021,38
ccig chambre de commerce dindustrie et des services de geneve,Mobility,2021,17
ccig chambre de commerce dindustrie et des services de geneve,Consumables,2021,8
ccig chambre de commerce dindustrie et des services de geneve,Waste,2021,0
ccig chambre de commerce dindustrie et des services de geneve,Food and  Hotels,2021,17
permanent mission of the republic of rwanda,Energy,2022,11.6
permanent mission of the republic of rwanda,Mobility,2022,4.8
permanent mission of the republic of rwanda,Consumables,2022,3.6
permanent mission of the republic of rwanda,Waste,2022,0
permanent mission of the republic of rwanda,Food and  Hotels,2022,2.5
permanent mission of the republic of rwanda,Energy,2021,26
permanent mission of the republic of rwanda,Mobility,2021,7
permanent mission of the republic of rwanda,Consumables,2021,3
permanent mission of the republic of rwanda,Waste,2021,0
permanent mission of the republic of rwanda,Food and  Hotels,2021,11
permanent mission of the republic of rwanda,Energy,2020,22
permanent mission of the republic of rwanda,Mobility,2020,11
permanent mission of the republic of rwanda,Food / Hotels,2020,5
permanent mission of the republic of rwanda,Waste,2020,0
permanent mission of the republic of rwanda,Consumables,2020,6
permanent mission of the united kingdom of great britain and nothern ireland,Energy,2022,43.6
permanent mission of the united kingdom of great britain and nothern ireland,Mobility,2022,16.4
permanent mission of the united kingdom of great britain and nothern ireland,Consumables,2022,3.4
permanent mission of the united kingdom of great britain and nothern ireland,Waste,2022,0.5
permanent mission of the united kingdom of great britain and nothern ireland,Food and  Hotels,2022,6.1
permanent mission of the united kingdom of great britain and nothern ireland,Energy,2021,40
permanent mission of the united kingdom of great britain and nothern ireland,Mobility,2021,65
permanent mission of the united kingdom of great britain and nothern ireland,Consumables,2021,28
permanent mission of the united kingdom of great britain and nothern ireland,Waste,2021,0
permanent mission of the united kingdom of great britain and nothern ireland,Food and  Hotels,2021,33
permanent mission of the united kingdom of great britain and nothern ireland,Energy,2020,62
permanent mission of the united kingdom of great britain and nothern ireland,Mobility,2020,193
permanent mission of the united kingdom of great britain and nothern ireland,Food / Hotels,2020,80
permanent mission of the united kingdom of great britain and nothern ireland,Waste,2020,2
permanent mission of the united kingdom of great britain and nothern ireland,Consumables,2020,27
permanent mission of switzerland,Energy,2022,118.9
permanent mission of switzerland,Mobility,2022,41.2
permanent mission of switzerland,Consumables,2022,14.4
permanent mission of switzerland,Waste,2022,4.2
permanent mission of switzerland,Food and  Hotels,2022,70.4
permanent mission of switzerland,Energy,2021,129
permanent mission of switzerland,Mobility,2021,28
permanent mission of switzerland,Consumables,2021,6
permanent mission of switzerland,Waste,2021,1
permanent mission of switzerland,Food and  Hotels,2021,54
permanent mission of switzerland,Energy,2020,104
permanent mission of switzerland,Mobility,2020,78
permanent mission of switzerland,Food / Hotels,2020,65
permanent mission of switzerland,Waste,2020,1
permanent mission of switzerland,Consumables,2020,16
diplomatic club of geneva,Energy,2022,1.3
diplomatic club of geneva,Mobility,2022,0.4
diplomatic club of geneva,Consumables,2022,0
diplomatic club of geneva,Waste,2022,0
diplomatic club of geneva,Food and  Hotels,2022,2.9
diplomatic club of geneva,Energy,2021,0.1
diplomatic club of geneva,Mobility,2021,0.4
diplomatic club of geneva,Consumables,2021,0.2
diplomatic club of geneva,Waste,2021,0.0
diplomatic club of geneva,Food and  Hotels,2021,9.9
nrc norwegian refugee council geneva office idmc internal displacement monitoring centre,Energy,2022,38.1
nrc norwegian refugee council geneva office idmc internal displacement monitoring centre,Mobility,2022,12
nrc norwegian refugee council geneva office idmc internal displacement monitoring centre,Consumables,2022,3.2
nrc norwegian refugee council geneva office idmc internal displacement monitoring centre,Waste,2022,0
nrc norwegian refugee council geneva office idmc internal displacement monitoring centre,Food and  Hotels,2022,23.7
nrc norwegian refugee council geneva office idmc internal displacement monitoring centre,Energy,2021,31
nrc norwegian refugee council geneva office idmc internal displacement monitoring centre,Mobility,2021,16
nrc norwegian refugee council geneva office idmc internal displacement monitoring centre,Consumables,2021,0
nrc norwegian refugee council geneva office idmc internal displacement monitoring centre,Waste,2021,0
nrc norwegian refugee council geneva office idmc internal displacement monitoring centre,Food and  Hotels,2021,40
nrc norwegian refugee council geneva office idmc internal displacement monitoring centre,Energy,2020,27
nrc norwegian refugee council geneva office idmc internal displacement monitoring centre,Mobility,2020,321
nrc norwegian refugee council geneva office idmc internal displacement monitoring centre,Food / Hotels,2020,34
nrc norwegian refugee council geneva office idmc internal displacement monitoring centre,Waste,2020,3
nrc norwegian refugee council geneva office idmc internal displacement monitoring centre,Consumables,2020,11
ebu european broadcasting union,Energy,2022,517
ebu european broadcasting union,Mobility,2022,173.9
ebu european broadcasting union,Consumables,2022,29
ebu european broadcasting union,Waste,2022,21.2
ebu european broadcasting union,Food and  Hotels,2022,66.1
ebu european broadcasting union,Energy,2021,393
ebu european broadcasting union,Mobility,2021,228
ebu european broadcasting union,Consumables,2021,28
ebu european broadcasting union,Waste,2021,29
ebu european broadcasting union,Food and  Hotels,2021,37
ebu european broadcasting union,Energy,2020,270
ebu european broadcasting union,Mobility,2020,1107
ebu european broadcasting union,Food and  Hotels,2020,286
ebu european broadcasting union,Waste,2020,29
ebu european broadcasting union,Consumables,2020,26
ioc the international olympic committee,Energy,2022,557
ioc the international olympic committee,Mobility,2022,3â€¯891
ioc the international olympic committee,Consumables,2022,187
ioc the international olympic committee,Waste,2022,17
ioc the international olympic committee,Food and  Hotels,2022,883
ioc the international olympic committee,Energy,2021,486
ioc the international olympic committee,Mobility,2021,8663
ioc the international olympic committee,Consumables,2021,676
ioc the international olympic committee,Waste,2021,10
ioc the international olympic committee,Food and  Hotels,2021,361
ioc the international olympic committee,Energy in buildings,2021,767
ioc the international olympic committee,Mobility,2020,24481
ioc the international olympic committee,Food and  Hotels,2020,1473
ioc the international olympic committee,Waste,2020,42
ioc the international olympic committee,Consumables,2020,273
ishr international service for human rights,Energy,2022,20.5
ishr international service for human rights,Mobility,2022,6.6
ishr international service for human rights,Consumables,2022,3.2
ishr international service for human rights,Waste,2022,2.7
ishr international service for human rights,Food and  Hotels,2022,33.2
ishr international service for human rights,Energy,2021,16
ishr international service for human rights,Mobility,2021,18
ishr international service for human rights,Consumables,2021,3
ishr international service for human rights,Waste,2021,1
ishr international service for human rights,Food and  Hotels,2021,18
ishr international service for human rights,Energy,2020,18
ishr international service for human rights,Mobility,2020,138
ishr international service for human rights,Food / Hotels,2020,N/R
ishr international service for human rights,Waste,2020,N/R
ishr international service for human rights,Consumables,2020,N/R
who world health organization,Energy,2022,3158.3
who world health organization,Mobility,2022,407.2
who world health organization,Consumables,2022,N/A
who world health organization,Waste,2022,29.8
who world health organization,Food and  Hotels,2022,N/A
who world health organization,Energy,2021,1466
who world health organization,Mobility,2021,10890
who world health organization,Consumables,2021,0
who world health organization,Waste,2021,12
who world health organization,Food and  Hotels,2021,0
world intellectual property organization,Energy,2022,2141.4
world intellectual property organization,Mobility,2022,259.5
world intellectual property organization,Consumables,2022,N/A
world intellectual property organization,Waste,2022,63.5
world intellectual property organization,Food and  Hotels,2022,N/A
world intellectual property organization,Energy,2021,1813
world intellectual property organization,Mobility,2021,578
world intellectual property organization,Consumables,2021,0
world intellectual property organization,Waste,2021,77
world intellectual property organization,Food and  Hotels,2021,0
world intellectual property organization,Energy,2020,1827
world intellectual property organization,Mobility,2020,2081
world intellectual property organization,Food / Hotels,2020,N/R
world intellectual property organization,Waste,2020,224
world intellectual property organization,Consumables,2020,N/R
wmo world meteorological organization,Energy,2022,534.8
wmo world meteorological organization,Mobility,2022,246.5
wmo world meteorological organization,Consumables,2022,22.4
wmo world meteorological organization,Waste,2022,12.3
wmo world meteorological organization,Food and  Hotels,2022,22.5
wmo world meteorological organization,Energy,2021,528
wmo world meteorological organization,Mobility,2021,509
wmo world meteorological organization,Consumables,2021,20
wmo world meteorological organization,Waste,2021,9
wmo world meteorological organization,Food and  Hotels,2021,59
wmo world meteorological organization,Energy,2020,491
wmo world meteorological organization,Mobility,2020,4639
wmo world meteorological organization,Food / Hotels,2020,593
wmo world meteorological organization,Waste,2020,29
wmo world meteorological organization,Consumables,2020,30
permanent mission of france,Energy,2022,166.4
permanent mission of france,Mobility,2022,5.3
permanent mission of france,Consumables,2022,1.7
permanent mission of france,Waste,2022,1.2
permanent mission of france,Food and  Hotels,2022,0.8
permanent mission of france,Energy,2021,170
permanent mission of france,Mobility,2021,21
permanent mission of france,Consumables,2021,7
permanent mission of france,Waste,2021,2
permanent mission of france,Food and  Hotels,2021,43
permanent mission of france,Energy,2020,105
permanent mission of france,Mobility,2020,116
permanent mission of france,Food / Hotels,2020,29
permanent mission of france,Waste,2020,1
permanent mission of france,Consumables,2020,6
permanent mission of portugal,Energy,2022,"27,4"
permanent mission of portugal,Mobility,2022,"16,0"
permanent mission of portugal,Consumables,2022,"0,2"
permanent mission of portugal,Waste,2022,"0,0"
permanent mission of portugal,Food and  Hotels,2022,"15,2"
permanent mission of portugal,Energy,2021,48
permanent mission of portugal,Mobility,2021,17
permanent mission of portugal,Consumables,2021,3
permanent mission of portugal,Waste,2021,0
permanent mission of portugal,Food and  Hotels,2021,15
permanent mission of portugal,Energy,2020,4
permanent mission of portugal,Mobility,2020,22
permanent mission of portugal,Food / Hotels,2020,1
permanent mission of portugal,Waste,2020,0
permanent mission of portugal,Consumables,2020,15
upov international union for the protection of new varieties of plants,Energy,2022,22.5
upov international union for the protection of new varieties of plants,Mobility,2022,1.3
upov international union for the protection of new varieties of plants,Consumables,2022,N/A
upov international union for the protection of new varieties of plants,Waste,2022,0.7
upov international union for the protection of new varieties of plants,Food and  Hotels,2022,N/A
upov international union for the protection of new varieties of plants,Energy,2021,18
upov international union for the protection of new varieties of plants,Mobility,2021,31
upov international union for the protection of new varieties of plants,Consumables,2021,0
upov international union for the protection of new varieties of plants,Waste,2021,0
upov international union for the protection of new varieties of plants,Food and  Hotels,2021,0
upov international union for the protection of new varieties of plants,Energy,2020,18
upov international union for the protection of new varieties of plants,Mobility,2020,81
upov international union for the protection of new varieties of plants,Food / Hotels,2020,N/R
upov international union for the protection of new varieties of plants,Waste,2020,2
upov international union for the protection of new varieties of plants,Consumables,2020,N/R
ilo international labour organization,Energy,2022,3059.4
ilo international labour organization,Mobility,2022,520.4
ilo international labour organization,Consumables,2022,130.3
ilo international labour organization,Waste,2022,31.9
ilo international labour organization,Food and  Hotels,2022,86.2
ilo international labour organization,Energy,2021,2422
ilo international labour organization,Mobility,2021,789
ilo international labour organization,Consumables,2021,420
ilo international labour organization,Waste,2021,19
ilo international labour organization,Food and  Hotels,2021,160
ilo international labour organization,Energy,2020,2017
ilo international labour organization,Mobility,2020,4689
ilo international labour organization,Food / Hotels,2020,1082
ilo international labour organization,Waste,2020,53
ilo international labour organization,Consumables,2020,281
gichd geneva international centre for humanitarian demining,Energy,2022,12.6
gichd geneva international centre for humanitarian demining,Mobility,2022,106.1
gichd geneva international centre for humanitarian demining,Consumables,2022,14.9
gichd geneva international centre for humanitarian demining,Waste,2022,0.2
gichd geneva international centre for humanitarian demining,Food and  Hotels,2022,90.8
gichd geneva international centre for humanitarian demining,Energy,2021,16
gichd geneva international centre for humanitarian demining,Mobility,2021,116
gichd geneva international centre for humanitarian demining,Consumables,2021,13
gichd geneva international centre for humanitarian demining,Waste,2021,0
gichd geneva international centre for humanitarian demining,Food and  Hotels,2021,73
permanent mission of norway 2,Energy,2022,28.5
permanent mission of norway 2,Mobility,2022,4.8
permanent mission of norway 2,Consumables,2022,1.2
permanent mission of norway 2,Waste,2022,0.9
permanent mission of norway 2,Food and  Hotels,2022,1.2
permanent mission of norway 2,Energy,2021,28
permanent mission of norway 2,Mobility,2021,2
permanent mission of norway 2,Consumables,2021,1
permanent mission of norway 2,Waste,2021,1
permanent mission of norway 2,Food and  Hotels,2021,0
permanent mission of norway 2,Energy,2020,29
permanent mission of norway 2,Mobility,2020,17
permanent mission of norway 2,Food / Hotels,2020,5
permanent mission of norway 2,Waste,2020,1
permanent mission of norway 2,Consumables,2020,5
icva international council of voluntary agencies,Energy,2022,6.5
icva international council of voluntary agencies,Mobility,2022,8.9
icva international council of voluntary agencies,Consumables,2022,1.1
icva international council of voluntary agencies,Waste,2022,0.1
icva international council of voluntary agencies,Food and  Hotels,2022,6
icva international council of voluntary agencies,Energy,2021,10
icva international council of voluntary agencies,Mobility,2021,3
icva international council of voluntary agencies,Consumables,2021,1
icva international council of voluntary agencies,Waste,2021,0
icva international council of voluntary agencies,Food and  Hotels,2021,11
permanent mission of ireland,Energy,2022,72
permanent mission of ireland,Mobility,2022,9
permanent mission of ireland,Consumables,2022,4
permanent mission of ireland,Waste,2022,0
permanent mission of ireland,Food and  Hotels,2022,10
permanent mission of ireland,Energy,2021,0
permanent mission of ireland,Mobility,2021,11
permanent mission of ireland,Food / Hotels,2021,6
permanent mission of ireland,Waste,2021,1
permanent mission of ireland,Consumables,2021,3
permanent mission of mexico,Energy,2022,34.6
permanent mission of mexico,Mobility,2022,16.2
permanent mission of mexico,Consumables,2022,0.4
permanent mission of mexico,Waste,2022,3
permanent mission of mexico,Food and  Hotels,2022,20.2
permanent mission of mexico,Energy,2021,48
permanent mission of mexico,Mobility,2021,10
permanent mission of mexico,Consumables,2021,0
permanent mission of mexico,Waste,2021,1
permanent mission of mexico,Food and  Hotels,2021,20
permanent mission of mexico,Energy,2020,21
permanent mission of mexico,Mobility,2020,37
permanent mission of mexico,Food / Hotels,2020,22
permanent mission of mexico,Waste,2020,1
permanent mission of mexico,Consumables,2020,7
geneva call,Energy,2022,21
geneva call,Mobility,2022,26
geneva call,Consumables,2022,4
geneva call,Waste,2022,1
geneva call,Food and  Hotels,2022,27
geneva call,Energy,2021,21
geneva call,Mobility,2021,157
geneva call,Food / Hotels,2021,32
geneva call,Waste,2021,1
geneva call,Consumables,2021,3
un human rights office of the high commissioner for human rights,Energy,2022,319.8
un human rights office of the high commissioner for human rights,Mobility,2022,1043
un human rights office of the high commissioner for human rights,Consumables,2022,19.3
