Organization,Category,Year,Value
un human rights office of the high commissioner for human rights,Waste,2022,4.9
un human rights office of the high commissioner for human rights,Food and  Hotels,2022,N/A
un human rights office of the high commissioner for human rights,Energy,2021,232
un human rights office of the high commissioner for human rights,Mobility,2021,709
un human rights office of the high commissioner for human rights,Consumables,2021,375
un human rights office of the high commissioner for human rights,Waste,2021,25
un human rights office of the high commissioner for human rights,Food and  Hotels,2021,0
un human rights office of the high commissioner for human rights,Energy,2020,234
un human rights office of the high commissioner for human rights,Mobility (*),2020,3927
un human rights office of the high commissioner for human rights,Food / Hotels,2020,N/R
un human rights office of the high commissioner for human rights,Waste,2020,13
un human rights office of the high commissioner for human rights,Consumables,2020,25
graduate institute geneva,Energy,2022,"733,6"
graduate institute geneva,Mobility,2022,"0,0"
graduate institute geneva,Consumables,2022,"64,0"
graduate institute geneva,Waste,2022,"72,8"
graduate institute geneva,Food and  Hotels,2022,"0,1"
permanent mission of the principality of andorra,Energy,2022,"0,0"
permanent mission of the principality of andorra,Mobility,2022,0.3
permanent mission of the principality of andorra,Consumables,2022,"0,0"
permanent mission of the principality of andorra,Waste,2022,"0,1"
permanent mission of the principality of andorra,Food and  Hotels,2022,"1,2"
permanent mission of israel,Energy,2022,38
permanent mission of israel,Mobility,2022,7
permanent mission of israel,Consumables,2022,3
permanent mission of israel,Waste,2022,0
permanent mission of israel,Food and  Hotels,2022,19
permanent mission of israel,Energy,2021,39
permanent mission of israel,Mobility,2021,7
permanent mission of israel,Food / Hotels,2021,21
permanent mission of israel,Waste,2021,N/R
permanent mission of israel,Consumables,2021,1
dndi drugs for neglected diseases initiative,Energy,2022,44.4
dndi drugs for neglected diseases initiative,Mobility,2022,150.3
dndi drugs for neglected diseases initiative,Consumables,2022,44.1
dndi drugs for neglected diseases initiative,Waste,2022,12.8
dndi drugs for neglected diseases initiative,Food and  Hotels,2022,92.5
permanent mission of the kingdom of morocco,Energy,2022,3.8
permanent mission of the kingdom of morocco,Mobility,2022,14.5
permanent mission of the kingdom of morocco,Consumables,2022,1.5
permanent mission of the kingdom of morocco,Waste,2022,0.3
permanent mission of the kingdom of morocco,Food and  Hotels,2022,8
permanent mission of the kingdom of morocco,Energy,2021,25
permanent mission of the kingdom of morocco,Mobility,2021,7
permanent mission of the kingdom of morocco,Consumables,2021,3
permanent mission of the kingdom of morocco,Waste,2021,0
permanent mission of the kingdom of morocco,Food and  Hotels,2021,10
permanent mission of the kingdom of morocco,Energy,2020,28
permanent mission of the kingdom of morocco,Mobility,2020,18
permanent mission of the kingdom of morocco,Food / Hotels,2020,5
permanent mission of the kingdom of morocco,Waste,2020,0
permanent mission of the kingdom of morocco,Consumables,2020,8
permanent mission of barbados,Energy,2022,26.2
permanent mission of barbados,Mobility,2022,3.2
permanent mission of barbados,Consumables,2022,0.1
permanent mission of barbados,Waste,2022,N/A
permanent mission of barbados,Food and  Hotels,2022,N/A
permanent mission of barbados,Energy,2021,21
permanent mission of barbados,Mobility,2021,1
permanent mission of barbados,Consumables,2021,14
permanent mission of barbados,Waste,2021,0
permanent mission of barbados,Food and  Hotels,2021,0
permanent mission of finland,Energy,2022,3.2
permanent mission of finland,Mobility,2022,13.2
permanent mission of finland,Consumables,2022,18.6
permanent mission of finland,Waste,2022,0.4
permanent mission of finland,Food and  Hotels,2022,22.1
permanent mission of finland,Energy,2021,21
permanent mission of finland,Mobility,2021,4
permanent mission of finland,Consumables,2021,2
permanent mission of finland,Waste,2021,0
permanent mission of finland,Food and  Hotels,2021,17
permanent mission of finland,Energy,2020,21
permanent mission of finland,Mobility,2020,8
permanent mission of finland,Food / Hotels,2020,8
permanent mission of finland,Waste,2020,0
permanent mission of finland,Consumables,2020,1
unhcr the un refugee agency,Energy,2022,"215,5"
unhcr the un refugee agency,Mobility,2022,"490,3"
unhcr the un refugee agency,Consumables,2022,N/A
unhcr the un refugee agency,Waste,2022,"154,5"
unhcr the un refugee agency,Food and  Hotels,2022,N/A
unhcr the un refugee agency,Energy,2021,149
unhcr the un refugee agency,Mobility,2021,486
unhcr the un refugee agency,Consumables,2021,188
unhcr the un refugee agency,Waste,2021,14
unhcr the un refugee agency,Food and  Hotels,2021,0
unhcr the un refugee agency,Energy,2020,92
unhcr the un refugee agency,Mobility,2020,1079
unhcr the un refugee agency,Food / Hotels,2020,92
unhcr the un refugee agency,Waste,2020,13
unhcr the un refugee agency,Consumables,2020,240
wcc world council of churches,Energy,2022,405
wcc world council of churches,Mobility,2022,51
wcc world council of churches,Consumables,2022,9
wcc world council of churches,Waste,2022,4
wcc world council of churches,Food and  Hotels,2022,107
wcc world council of churches,Energy,2021,461
wcc world council of churches,Mobility,2021,N/R
wcc world council of churches,Food / Hotels,2021,72
wcc world council of churches,Waste,2021,N/R
wcc world council of churches,Consumables,2021,13
office of the united nations in geneva,Energy,2022,2117.9
office of the united nations in geneva,Mobility,2022,19.9
office of the united nations in geneva,Consumables,2022,15.5
office of the united nations in geneva,Waste,2022,132.8
office of the united nations in geneva,Food and  Hotels,2022,1.7
office of the united nations in geneva,Energy,2021,1739
office of the united nations in geneva,Mobility,2021,18
office of the united nations in geneva,Consumables,2021,48
office of the united nations in geneva,Waste,2021,171
office of the united nations in geneva,Food and  Hotels,2021,650
office of the united nations in geneva,Energy,2020,2084
office of the united nations in geneva,Mobility,2020,83
office of the united nations in geneva,Food / Hotels (*),2020,1130
office of the united nations in geneva,Waste,2020,95
office of the united nations in geneva,Consumables,2020,N/R
permanent mission of norway,Energy,2022,54.8
permanent mission of norway,Mobility,2022,14.1
permanent mission of norway,Consumables,2022,4.9
permanent mission of norway,Waste,2022,0.2
permanent mission of norway,Food and  Hotels,2022,19.5
permanent mission of norway,Energy,2021,50
permanent mission of norway,Mobility,2021,3
permanent mission of norway,Consumables,2021,8
permanent mission of norway,Waste,2021,0
permanent mission of norway,Food and  Hotels,2021,8
permanent mission of norway,Energy,2020,10
permanent mission of norway,Mobility,2020,11
permanent mission of norway,Food / Hotels,2020,16
permanent mission of norway,Waste,2020,2
permanent mission of norway,Consumables,2020,41
fipoi foundation for buildings for international organisations,Energy,2022,21.3
fipoi foundation for buildings for international organisations,Mobility,2022,36.2
fipoi foundation for buildings for international organisations,Consumables,2022,3
fipoi foundation for buildings for international organisations,Waste,2022,0.4
fipoi foundation for buildings for international organisations,Food and  Hotels,2022,44
fipoi foundation for buildings for international organisations,Energy,2021,19
fipoi foundation for buildings for international organisations,Mobility,2021,63
fipoi foundation for buildings for international organisations,Consumables,2021,9
fipoi foundation for buildings for international organisations,Waste,2021,1
fipoi foundation for buildings for international organisations,Food and  Hotels,2021,32
fipoi foundation for buildings for international organisations,Energy,2020,17
fipoi foundation for buildings for international organisations,Mobility,2020,40
fipoi foundation for buildings for international organisations,Food / Hotels,2020,23
fipoi foundation for buildings for international organisations,Waste,2020,1
fipoi foundation for buildings for international organisations,Consumables,2020,10
unige university of geneva,Energy,2022,14280
unige university of geneva,Mobility,2022,2721
unige university of geneva,Consumables,2022,23428
unige university of geneva,Waste,2022,1
unige university of geneva,Food and  Hotels,2022,520
unige university of geneva,Energy,2021,15020
unige university of geneva,Mobility,2021,7488
unige university of geneva,Consumables,2021,25995
unige university of geneva,Waste,2021,1
unige university of geneva,Food and  Hotels,2021,1111
permanent delegation of the european union,Energy,2022,31.9
permanent delegation of the european union,Mobility,2022,57.1
permanent delegation of the european union,Consumables,2022,15.1
permanent delegation of the european union,Waste,2022,0
permanent delegation of the european union,Food and  Hotels,2022,49.4
permanent delegation of the european union,Energy,2021,63
permanent delegation of the european union,Mobility,2021,37
permanent delegation of the european union,Consumables,2021,11
permanent delegation of the european union,Waste,2021,0
permanent delegation of the european union,Food and  Hotels,2021,54
permanent delegation of the european union,Energy,2020,42
permanent delegation of the european union,Mobility,2020,70
permanent delegation of the european union,Food / Hotels,2020,57
permanent delegation of the european union,Waste,2020,13
permanent delegation of the european union,Consumables,2020,9
united nations environment programme geneva office,Energy,2022,34.0
united nations environment programme geneva office,Mobility,2022,8.0
united nations environment programme geneva office,Consumables,2022,0.0
united nations environment programme geneva office,Waste,2022,0.0
united nations environment programme geneva office,Food and  Hotels,2022,0.0
united nations environment programme geneva office,Energy,2021,23
united nations environment programme geneva office,Mobility,2021,133
united nations environment programme geneva office,Consumables,2021,0
united nations environment programme geneva office,Waste,2021,0
united nations environment programme geneva office,Food and  Hotels,2021,0
united nations environment programme geneva office,Energy,2020,111
united nations environment programme geneva office,Mobility(*),2020,729
united nations environment programme geneva office,Food / Hotels,2020,N/R
united nations environment programme geneva office,Waste,2020,N/R
united nations environment programme geneva office,Consumables,2020,N/R
kofi annan foundation,Energy,2022,9.4
kofi annan foundation,Mobility,2022,9.6
kofi annan foundation,Consumables,2022,0.9
kofi annan foundation,Waste,2022,0
kofi annan foundation,Food and  Hotels,2022,12.7
kofi annan foundation,Energy,2021,14
kofi annan foundation,Mobility,2021,6
kofi annan foundation,Consumables,2021,1
kofi annan foundation,Waste,2021,0
kofi annan foundation,Food and  Hotels,2021,12
kofi annan foundation,Energy,2020,8
kofi annan foundation,Mobility,2020,13
kofi annan foundation,Food / Hotels,2020,2
kofi annan foundation,Waste,2020,0
kofi annan foundation,Consumables,2020,2
permanent mission of tunisia,Energy,2022,8
permanent mission of tunisia,Mobility,2022,5
permanent mission of tunisia,Consumables,2022,0
permanent mission of tunisia,Waste,2022,0
permanent mission of tunisia,Food and  Hotels,2022,5
permanent mission of tunisia,Energy,2021,8
permanent mission of tunisia,Mobility,2021,12
permanent mission of tunisia,Food / Hotels,2021,5
permanent mission of tunisia,Waste,2021,0
permanent mission of tunisia,Consumables,2021,3
permanent mission of denmark,Energy,2022,5
permanent mission of denmark,Mobility,2022,19
permanent mission of denmark,Food / Hotels,2022,21
permanent mission of denmark,Waste,2022,0
permanent mission of denmark,Consumables,2022,5
itu international telecommunication union,Energy,2022,637.2
itu international telecommunication union,Mobility,2022,1147.2
itu international telecommunication union,Consumables,2022,86.9
itu international telecommunication union,Waste,2022,31.9
itu international telecommunication union,Food and  Hotels,2022,676.2
itu international telecommunication union,Energy,2021,513
itu international telecommunication union,Mobility,2021,1142
itu international telecommunication union,Consumables,2021,217
itu international telecommunication union,Waste,2021,36
itu international telecommunication union,Food and  Hotels,2021,22
itu international telecommunication union,Energy,2020,514
itu international telecommunication union,Mobility,2020,2810
itu international telecommunication union,Food / Hotels,2020,155
itu international telecommunication union,Waste,2020,74
itu international telecommunication union,Consumables,2020,104
permanent mission of chile,Energy,2022,35
permanent mission of chile,Mobility,2022,11
permanent mission of chile,Consumables,2022,44
permanent mission of chile,Waste,2022,2
permanent mission of chile,Food and  Hotels,2022,10
permanent mission of chile,Energy,2021,N/R
permanent mission of chile,Mobility,2021,3
permanent mission of chile,Food / Hotels,2021,10
permanent mission of chile,Waste,2021,N/R
permanent mission of chile,Consumables,2021,2
undp office in geneva united nations development programme 2,Energy,2022,11.0
undp office in geneva united nations development programme 2,Mobility,2022,50.5
undp office in geneva united nations development programme 2,Consumables,2022,0.0
undp office in geneva united nations development programme 2,Waste,2022,0.1
undp office in geneva united nations development programme 2,Food and  Hotels,2022,40.7
permanent mission of the principality of monaco,Energy,2022,21
permanent mission of the principality of monaco,Mobility,2022,4
permanent mission of the principality of monaco,Food / Hotels,2022,4
permanent mission of the principality of monaco,Waste,2022,0
permanent mission of the principality of monaco,Consumables,2022,16
permanent mission of the republic of slovenia,Energy,2022,13
permanent mission of the republic of slovenia,Mobility,2022,3
permanent mission of the republic of slovenia,Consumables,2022,1
permanent mission of the republic of slovenia,Waste,2022,0
permanent mission of the republic of slovenia,Food and  Hotels,2022,10
permanent mission of the republic of slovenia,Energy,2021,67
permanent mission of the republic of slovenia,Mobility,2021,7
permanent mission of the republic of slovenia,Food / Hotels,2021,14
permanent mission of the republic of slovenia,Waste,2021,0
permanent mission of the republic of slovenia,Consumables,2021,2
path foundation for appropriate technologies in health,Energy,2022,6.1
path foundation for appropriate technologies in health,Mobility,2022,17.1
path foundation for appropriate technologies in health,Consumables,2022,2.6
path foundation for appropriate technologies in health,Waste,2022,0.1
path foundation for appropriate technologies in health,Food and  Hotels,2022,22.1
path foundation for appropriate technologies in health,Energy,2021,4
path foundation for appropriate technologies in health,Mobility,2021,18
path foundation for appropriate technologies in health,Consumables,2021,1
path foundation for appropriate technologies in health,Waste,2021,0
path foundation for appropriate technologies in health,Food and  Hotels,2021,13
path foundation for appropriate technologies in health,Energy,2020,6
path foundation for appropriate technologies in health,Mobility,2020,120
path foundation for appropriate technologies in health,Food / Hotels,2020,15
path foundation for appropriate technologies in health,Waste,2020,1
path foundation for appropriate technologies in health,Consumables,2020,1
permanent mission of the fiji republic,Energy,2022,0.1
permanent mission of the fiji republic,Mobility,2022,15.9
permanent mission of the fiji republic,Consumables,2022,0.1
permanent mission of the fiji republic,Waste,2022,0
permanent mission of the fiji republic,Food and  Hotels,2022,0.5
permanent mission of the fiji republic,Energy,2021,4
permanent mission of the fiji republic,Mobility,2021,1
permanent mission of the fiji republic,Consumables,2021,0
permanent mission of the fiji republic,Waste,2021,0
permanent mission of the fiji republic,Food and  Hotels,2021,2
permanent mission of the fiji republic,Energy,2020,1
permanent mission of the fiji republic,Mobility,2020,23
permanent mission of the fiji republic,Food / Hotels,2020,1
permanent mission of the fiji republic,Waste,2020,0
permanent mission of the fiji republic,Consumables,2020,4
permanent mission of the federal republic of germany,Energy,2022,226.8
permanent mission of the federal republic of germany,Mobility,2022,11.1
permanent mission of the federal republic of germany,Consumables,2022,2.1
permanent mission of the federal republic of germany,Waste,2022,1.3
permanent mission of the federal republic of germany,Food and  Hotels,2022,1.4
permanent mission of the federal republic of germany,Energy,2021,220
permanent mission of the federal republic of germany,Mobility,2021,7
permanent mission of the federal republic of germany,Consumables,2021,1
permanent mission of the federal republic of germany,Waste,2021,1
permanent mission of the federal republic of germany,Food and  Hotels,2021,0
permanent mission of the federal republic of germany,Energy,2020,224
permanent mission of the federal republic of germany,Mobility,2020,38
permanent mission of the federal republic of germany,Food / Hotels,2020,45
permanent mission of the federal republic of germany,Waste,2020,1
permanent mission of the federal republic of germany,Consumables,2020,15
permanent mission of the republic of costa rica,Energy,2022,1
permanent mission of the republic of costa rica,Mobility,2022,0.1
permanent mission of the republic of costa rica,Consumables,2022,0
permanent mission of the republic of costa rica,Waste,2022,0.2
permanent mission of the republic of costa rica,Food and  Hotels,2022,3.1
permanent mission of the republic of costa rica,Energy,2021,1
permanent mission of the republic of costa rica,Mobility,2021,0
permanent mission of the republic of costa rica,Consumables,2021,1
permanent mission of the republic of costa rica,Waste,2021,0
permanent mission of the republic of costa rica,Food and  Hotels,2021,1
permanent mission of the republic of costa rica,Energy,2020,0
permanent mission of the republic of costa rica,Mobility,2020,0
permanent mission of the republic of costa rica,Food / Hotels,2020,3
permanent mission of the republic of costa rica,Waste,2020,0
permanent mission of the republic of costa rica,Consumables,2020,3
